dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
CricketX,0.8197435897435896,0.0059639504356989725,2.378311263595242,1.9873736375040607
CricketY,0.8523076923076923,0.006607230116269307,2.608788746202481,2.198674186205608
CricketZ,0.8556410256410258,0.00550536168040614,2.62201576900261,2.21639777639939
